Act,Handle,Year,Num
North-Eastern Council Act,1580,1971,84
Delhi Sikh Gurdwaras Act,1598,1971,82
North-Eastern Area (Reorganisation) Act,1534,1971,81
Manipur (Hill Areas) District Council Act,1600,1971,76
Contempt of Courts Act,1514,1971,70
Prevention of Insults to National Honour Act,1578,1971,69
Naval and Aircraft Prize Act,1606,1971,59
"Comptroller and Auditor General's (Duties, Powers and Conditions of Service) Act",1569,1971,56
Public Premises (Eviction of Unauthorised Occupants) Act,1609,1971,40
Medical Termination of Pregnancy Act,1593,1971,34
State of Himachal Pradesh Act,1464,1970,53
Patents Act,1392,1970,39
Contract Labour (Regulation and Abolition) Act,1467,1970,37
Supreme Court (Enlargement of Criminal Appellate Jurisdiction) Act,1449,1970,28
Haryana and Punjab Agricultural Universities Act,1420,1970,16
Banking Companies (Acquisition and Transfer of Undertakings) Act,1373,1970,5
Assam Reorganisation (Meghalaya) Act,1716,1969,55
Oaths Act,1643,1969,44
Khuda Bakhsh Oriental Public Library Act,1731,1969,43
Bihar Land Reforms Laws (Regulating Mines and Minerals) Validation Act,19239,1969,42
Foreign Marriage Act,1720,1969,33
Union Territories (Separation of Judicial and Executive Functions) Act,1706,1969,19
Registration of Births and Deaths Act,1682,1969,18
President (Discharge of Functions) Act,1654,1969,16
Legislative Assembly of Nagaland (Change in Representation) Act,1577,1968,61
Judges (Inquiry) Act,1539,1968,51
Central Industrial Security Force Act,1599,1968,50
Border Security Force Act,1561,1968,47
Insecticides Act,1551,1968,46
Andhra Pradesh and Mysore (Transfer of Territory) Act,1603,1968,36
Enemy Property Act,1582,1968,34
Civil Defence Act,1524,1968,27
Pondicherry (Extension of Laws) Act,1592,1968,26
Central Laws (Extension to Jammu and Kashmir) Act,1555,1968,25
Bihar and Uttar Pradesh (Alteration of Boundaries) Act,1501,1968,24
Jammu and Kashmir Representation of the People (Supplementary) Act,2460,1968,3
Unlawful Activities Prevention Act,1470,1967,37
Passports Act,1372,1967,15
Land Acquisition (Amendment and Validation) Act,19244,1967,13
Seeds Act,1712,1966,54
Jawaharlal Nehru University Act,1701,1966,53
"Post-Graduate Institute of Medical Education and Research, Chandigarh Act",1684,1966,51
Police Forces (Restriction of Rights) Act,1704,1966,33
Beedi and Cigar Workers (Conditions of Employment) Act,1675,1966,32
Punjab Reorganisation Act,1645,1966,31
Railway Property (Unlawful Possession) Act,1688,1966,29
Delhi High Court Act,1700,1966,26
Asian Development Bank Act,1656,1966,18
Seamen's Provident Fund Act,1633,1966,4
Union Territories (Direct Election to the House of the People) Act,1571,1965,49
Cardamom Act,1540,1965,42
Railways (Employment of Members of the Armed Forces) Act,1589,1965,40
"Goa, Daman and Diu (Extension of the Code of Civil Procedure and the Arbitration Act) Act",1575,1965,30
Payment of Bonus Act,1548,1965,21
Warehousing Corporations (Supplementary) Act,1525,1965,20
Food Corporations Act,1415,1964,37
Legal Tender (Inscribed Notes) Act,1382,1964,28
Dakshina Bharat Hindi Prachar Sabha Act,1447,1964,14
Taxation Laws (Continuation and Validation of Recovery Proceedings) Act,1427,1964,11
Companies (Profits) Surtax Act,1370,1964,7
Central Boards of Revenue Act,1500,1963,54
Specific Relief Act,1583,1963,47
Administrators-General Act,1567,1963,45
Textiles Committee Act,1550,1963,41
Limitation Act,1565,1963,36
Export (Quality Control and Inspection) Act,1591,1963,22
Government of Union Territories Act,1546,1963,20
Official Languages Act,1526,1963,19
Marine Insurance Act,1520,1963,11
Warehousing Corporations Act,1371,1962,58
Delhi Motor Vehicles Taxation Act,1454,1962,57
State Associated Banks (Miscellaneous Provisions) Act,1443,1962,56
Manipur (Sales of Motor Spirit and Lubricants) Taxation Act,1426,1962,55
Customs Act,2475,1962,52
Petroleum and Minerals Pipelines (Acquisition of Right of User in Land) Act,1424,1962,50
